,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19760414,-0.68,-0.44,-0.59,-0.3,-1.24,-0.16,-0.07,-0.54,-0.44,-0.6
19760415,0.4,0.14,0.24,0.34,0.37,0.13,0.55,0.51,0.67,0.69
19760419,0.63,0.59,0.76,0.67,0.74,0.69,0.77,0.7,0.37,1.21
19760420,1.62,1.72,0.96,1.63,1.15,1.5,1.42,1.63,1.59,2.28
19760421,0.42,0.13,0.48,0.55,0.03,0.43,0.49,0.5,0.12,1.03
19760422,-0.44,-0.15,-0.29,-0.37,-0.26,0.11,0.19,0.01,-0.03,-0.06
19760423,-1.05,-0.56,-0.76,-0.72,-0.42,-0.36,-0.39,-0.86,-0.96,-0.89
19760426,-0.11,-0.22,0.03,0.1,0.33,0.16,0.13,0.34,0.03,-0.01
19760427,-0.53,-0.48,-0.66,-0.28,-0.64,-0.12,-0.34,-0.69,-0.62,-0.87
19760428,-0.54,0.19,0.46,0.59,0,0.13,0.08,0.03,0.5,0.13
19760429,-0.21,-0.06,-0.15,0.12,-0.08,0.14,-0.05,0.09,0.36,0
19760430,-0.54,-0.49,-0.62,-0.18,-0.41,-0.26,-0.09,-0.24,-0.35,-0.44
19760503,-0.71,-0.78,-0.52,-0.73,-1.09,-0.79,-0.55,-1.14,-1,-1.48
19760504,0.63,0.72,0.46,0.62,0.81,0.42,0.5,0.48,0.27,0.72
19760505,-0.29,-0.52,-1.12,-0.12,-0.2,-0.56,-0.3,-0.36,-0.29,-0.5
19760506,0.48,0.37,-0.02,0.31,0.25,0.36,0.5,0.18,0.44,0.37
19760507,1,0.75,1.05,0.61,0.76,0.52,0.99,0.9,0.61,1.26
19760510,1.88,0.91,1.09,0.72,1.71,1.1,1.48,1.49,1.4,1.69
19760511,-0.35,-0.04,-0.37,-0.08,0.05,-0.13,0.54,-0.42,0.29,0.24
19760512,-0.42,-0.49,-0.19,-0.03,-0.1,-0.01,-0.13,-0.31,0.22,-0.14
19760513,-0.94,-0.48,-0.41,-0.54,-0.54,-0.56,-0.39,-0.8,-0.27,-0.62
19760514,-0.88,-0.86,-0.68,-0.68,-0.9,-0.43,-0.52,-0.62,-0.75,-1.03
19760517,-0.51,-0.21,-0.16,-0.38,-0.04,-0.29,-0.43,-0.1,-0.28,-0.66
19760518,-0.03,0.15,-0.11,0.02,0.26,-0.02,0.17,0.55,0.35,0.05
19760519,-0.08,-0.09,-0.03,0.15,-0.14,-0.3,0.27,-0.07,-0.07,0.04
19760520,0.81,0.49,0.96,1.08,0.43,0.39,0.57,0.54,0.67,0.66
19760521,-0.41,-0.38,-0.87,-0.45,-0.45,-0.57,-0.51,-0.38,-0.88,-0.37
19760524,-1.59,-1.56,-1.63,-1.6,-1.73,-1.6,-1.29,-1.55,-1.9,-2.48
19760525,0.26,0.09,-0.01,-0.04,0.36,-0.18,-0.55,-0.46,-0.32,-0.55
19760526,0.3,-0.17,-0.16,0.38,0.06,-0.63,-0.02,-0.22,0.26,-0.19
19760527,-0.03,-0.2,0.02,0.1,0.13,-0.19,-0.11,-0.08,-0.19,-0.67
19760528,0.66,0.69,0.94,0.58,0.93,0.86,0.72,0.92,1.01,0.22
19760601,-0.37,-0.19,-0.28,-0.41,-0.37,-0.13,-0.14,-0.01,0.08,-0.54
19760602,0.63,0.19,0.06,0.68,0.64,0.02,0.14,0.1,0.43,0.23
19760603,0.01,-0.13,-0.04,-0.01,0.27,-0.23,0.18,0.05,-0.06,-0.18
19760604,-1.21,-0.77,-1.08,-0.71,-0.87,-0.59,-0.92,-0.79,-0.86,-1.3
19760607,-0.23,-0.4,-0.5,-0.39,-0.33,-0.37,-0.39,-0.82,-0.75,-1.27
19760608,0.08,-0.02,0.23,0.32,0.01,0.22,0.12,0.16,0.41,-0.13
19760609,0.21,-0.04,0.05,0.06,0.15,-0.01,-0.61,0.04,-0.18,-0.11
19760610,1.1,0.83,0.9,0.89,0.73,0.85,0.38,0.71,0.53,1.32
19760611,1.19,1.38,1.72,0.99,1.1,0.86,0.74,1.25,1.21,1.77
19760614,0.98,1,0.93,0.93,0.98,0.89,1.15,1.4,0.86,1.52
19760615,0.08,-0.52,-0.32,-0.32,-0.57,-0.48,-0.29,-0.53,-0.49,-0.37
19760616,1.1,0.56,0.31,0.47,0.34,0.79,0.25,0.37,0.76,0.97
19760617,1.47,1.57,1.18,1.37,1.03,1.34,1.74,1.34,2.09,1.69
19760618,0.51,-0.14,0.15,0.27,0.28,-0.16,0.83,0.4,0.17,0.36
19760621,0.3,0.33,0.73,0.46,0.29,0.2,0.91,0.21,0.09,0.22
19760622,-0.84,-0.82,-0.83,-0.66,-0.45,-0.53,-0.75,-0.4,-0.73,-0.82
19760623,-0.1,-0.55,0.02,-0.23,-0.31,-0.04,0.18,-0.48,-0.31,-0.21
19760624,0.72,0.39,0.35,0.7,0.66,0.67,0.7,0.55,0.8,0.71
19760625,0.33,0.07,0.06,-0.05,0.1,0,-0.06,0.09,-0.28,0.32
19760628,-0.34,-0.03,-0.02,-0.36,-0.19,-0.43,-0.2,-0.27,-0.12,-0.31
19760629,0.62,0.77,0.66,0.21,0.05,0.25,0.43,0.44,0.14,0.39
19760630,0.95,0.79,0.41,0.62,0.45,0.51,0.23,0.58,0.05,0.54
19760701,-0.81,-0.36,-0.75,-0.31,-1.14,-0.07,-0.78,-0.87,-0.88,-0.88
19760702,0.74,0.72,0.54,0.52,0.68,0.41,0.39,0.34,0.08,0.5
19760706,-0.29,-0.4,-0.51,-0.3,-0.27,-0.45,-0.34,-0.44,-0.97,-0.03
19760707,0.31,0.42,0.13,0.39,0.37,0.12,0.14,0.57,0.03,-0.21
19760708,0.26,0.12,0,0.27,0.2,0.16,0.42,-0.16,0.55,0.08
19760709,1.18,1.05,1.06,0.89,1.16,0.67,0.45,0.62,1.21,0.63
19760712,0.94,0.77,1.18,0.98,0.61,0.7,0.32,0.63,0.79,1.15
19760713,-0.02,-0.5,-0.12,0.03,-0.23,-0.16,0.2,-0.6,-0.11,-0.4
19760714,0.73,0.61,0.64,0.32,0.15,0.24,-0.27,0.04,0.42,0.38
19760715,-0.38,-0.73,-0.83,-0.7,-0.72,-0.73,-0.48,-0.43,-0.2,-0.38
19760716,-0.67,-0.43,-0.69,-0.49,-0.48,-0.21,0.14,-0.56,-0.66,-0.75
19760719,-0.86,-0.21,-0.22,-0.49,-0.19,-0.09,-0.05,-0.51,-0.54,-0.59
19760720,-0.55,-1.13,-0.88,-0.7,-0.43,-0.36,-0.23,-0.45,-0.65,-1.13
19760721,0.26,0.15,-0.05,0.04,0.09,0.11,0.26,-0.04,0.14,0.23
19760722,0.12,-0.35,0.05,0,0.19,0.43,-0.12,0.54,0.17,-0.16
19760723,-0.12,-0.13,0.01,0.11,0.31,0.47,0.2,0.09,0.15,-0.09
19760726,-0.46,-0.1,-0.09,-0.08,0.02,-0.17,-0.13,0.46,-0.24,-0.41
19760727,-0.33,-0.77,-0.28,-0.25,-0.42,-0.41,-0.36,-0.73,-0.6,-0.54
19760728,-0.38,0.01,-0.54,-0.35,-0.23,-0.6,-0.44,-0.12,-0.59,-0.51
19760729,-0.18,0.01,-0.08,-0.22,-0.17,-0.34,0.07,-0.23,0.05,-0.38
19760730,0.4,0.44,0.27,0.4,0.45,0.72,0.52,0.24,0.33,0.5
19760802,-0.31,-0.23,-0.25,-0.24,0.23,0.01,-0.21,-0.02,-0.23,-0.33
19760803,0.8,0.71,0.95,0.41,1.12,0.68,1.1,1.2,1.27,1.14
19760804,0.26,0.23,0.07,0.24,0.43,0.2,0.21,0.42,-0.12,0.19
19760805,-0.3,-0.42,-0.76,-0.36,-0.44,-0.06,-0.44,-0.14,-0.5,-0.89
19760806,-0.04,0.02,-0.12,-0.01,0.27,-0.18,0,-0.06,0.1,-0.1
19760809,-0.19,-0.23,-0.11,-0.2,-0.06,-0.25,-0.47,-0.28,-0.24,-0.39
19760810,0.42,0.97,1.28,0.41,0.45,0.61,0.58,1.21,1.09,0.76
19760811,-0.27,-0.37,-0.18,0.09,-0.01,-0.06,-0.55,-0.4,-0.43,-0.46
19760812,0.22,0.22,0.25,-0.34,0.19,0.12,0.11,0.15,-0.23,-0.06
19760813,-0.05,-0.02,0.37,-0.02,-0.19,0.2,0.12,0.2,0.03,0.12
19760816,-0.14,0.04,0.26,0.01,0.48,0.21,0.3,0.24,0.11,-0.02
19760817,0.2,0.84,0.57,0.36,0.18,0.18,-0.36,0.3,0.12,0.37
19760818,0.03,-0.17,-0.25,0.1,-0.01,-0.52,-0.48,-0.17,-0.13,-0.59
19760819,-1.25,-1.27,-1.01,-0.89,-0.79,-1.23,-1.02,-1.55,-1.55,-2.05
19760820,-0.69,-0.86,-0.91,-0.41,-0.98,-0.88,-0.95,-0.97,-1.17,-1.53
19760823,-0.59,0.18,-0.35,-0.58,-0.46,-0.69,-0.52,-0.27,-0.95,-0.6
19760824,-0.35,-0.66,-0.66,-0.23,-0.42,-0.47,-0.75,-1.11,-0.49,-0.93
19760825,0.87,0.83,0.56,0.41,0.74,0.88,0.93,1.09,0.56,0.52
19760826,-0.35,-0.79,-0.79,-0.62,-0.28,-0.54,-0.45,-0.88,-0.53,-0.8
19760827,0.17,0.07,-0.01,0.11,-0.07,-0.03,0.55,0.21,0.1,0.14
19760830,0.35,0.58,0.55,0.41,0.74,0.39,0.5,0.79,0.37,0.65
19760831,0.66,0.77,0.56,0.78,0.36,1.01,0.74,0.64,1.07,0.75
19760901,1.03,1.16,1.08,1.1,0.53,0.71,1.17,1.22,1.16,1.5
19760902,-0.22,-0.14,-0.01,-0.06,0.1,0.11,0.13,-0.13,0.05,-0.06
19760903,0.1,0.35,0.38,0.48,0.26,0.37,0.42,0.6,0.72,0.35
19760907,0.41,0.94,0.5,0.59,0.68,0.74,0.59,0.56,0.31,0.91
19760908,0.21,-0.56,0.17,0.14,0.31,-0.12,-0.38,-0.44,-0.18,-0.02
19760909,-0.74,-0.49,-0.38,-0.43,-0.49,-0.17,-0.29,-0.23,-0.82,-0.79
19760910,0.16,-0.06,0.36,0.4,0.34,0.22,0.15,0.4,0.19,0.38
19760913,-0.31,-0.31,-0.37,-0.29,0.33,-0.3,-0.29,-0.52,-0.4,-0.36
19760914,-0.23,-0.62,-0.51,-0.19,-0.08,-0.15,-0.26,-0.02,-0.38,-0.39
19760915,0.41,0.33,0.01,0.48,-0.04,0.33,0.27,0.02,0.23,-0.02
19760916,0.67,1.12,0.78,0.59,0.7,1.01,0.9,1.33,0.93,0.72
19760917,0.46,0.75,1.01,1.46,0.7,0.78,0.73,0.69,0.69,1.36
19760920,0.47,0.18,0.05,-0.07,0.24,0.02,0.14,0.17,0.29,0.17
19760921,1.37,1.67,1.24,1.41,1.22,0.6,1.43,1.35,0.93,1.22
19760922,-0.42,-0.21,-0.07,-0.39,-0.02,-0.62,-0.14,-0.48,-0.35,-0.15
19760923,-0.43,-0.68,-0.39,-0.37,-0.5,-0.23,-0.39,-0.46,-0.42,-0.69
19760924,0.03,-0.19,0,-0.02,-0.24,0.07,-0.39,0.1,-0.05,0
19760927,0.31,0.41,0.3,0.36,0.15,0.35,0.34,0.72,0.3,0.55
19760928,-1.19,-1.23,-1.17,-1.18,-0.95,-0.97,-0.94,-1.08,-1.28,-1.46
19760929,-0.02,-0.74,-0.66,-0.33,-0.57,-0.37,-0.59,-0.31,-0.47,-0.61
19760930,-0.19,0.12,-0.1,-0.1,-0.12,-0.17,-0.13,-0.2,-0.1,-0.06
19761001,-1.28,-1.24,-1.14,-0.93,-0.78,-0.54,-0.36,-1.05,-1.2,-1.18
19761004,-0.25,-0.37,0.02,-0.33,-0.02,-0.1,-0.08,0.06,0.06,0.03
19761005,-0.8,-0.72,-0.75,-0.78,-0.65,-0.47,-0.56,-0.94,-0.78,-1.26
19761006,-0.09,-0.28,-0.44,-0.57,-0.38,-0.07,-0.37,-0.89,-0.87,-0.76
19761007,0.67,0.9,0.41,0.57,0.45,0.71,0.5,0.46,0.39,0.91
19761008,-0.61,-1.02,-0.73,-1.08,-0.54,-0.81,-0.53,-0.98,-0.87,-1.13
19761011,-1.11,-0.73,-0.78,-1,-1.04,-0.58,-0.47,-1.61,-1.42,-2.03
19761012,-0.53,-0.38,-0.5,-0.47,-0.87,-0.88,-1.53,-0.71,-0.8,-1.19
19761013,0.83,1.11,0.95,1,1.22,1.55,0.81,1.14,1.41,1.51
19761014,-0.99,-1.01,-1.29,-1.25,-0.94,-0.78,-1.51,-1.07,-0.73,-1.66
19761015,0.4,0.1,0.28,0.29,-0.18,-0.18,-0.12,0.43,0.28,0.59
19761018,0.5,0.5,0.57,0.82,0.57,0.31,0.59,0.56,0.73,0.79
19761019,-0.16,0.02,-0.04,-0.11,0.06,0.24,0.02,-0.44,-0.17,-0.22
19761020,-0.14,0.24,0.11,0.28,0.31,0.2,0.48,0.07,0.42,0.55
19761021,-0.98,-0.61,-0.85,-0.92,-0.65,-0.64,-1.04,-0.64,-0.96,-0.74
19761022,-1.25,-0.74,-0.61,-0.37,-0.66,-0.91,-0.68,-0.77,-0.54,-1.19
19761025,0.05,-0.24,0.04,0.39,0.06,0.17,0.16,0.1,0.03,0.31
19761026,0.45,0.7,0.96,0.91,1.04,0.94,1.1,0.89,0.95,0.81
19761027,0.89,0.25,0.57,0.41,0.45,0.72,0.84,0.5,0.48,0.41
19761028,-0.42,-0.01,-0.13,-0.28,-0.08,0.24,-0.08,-0.32,0.15,-0.22
19761029,1.65,1.41,1.04,1.06,0.76,1.24,1.33,1.28,1.12,1.18
19761101,0.12,-0.29,0.09,0.33,0.31,0.34,0.55,0.37,0.75,0.05
19761103,-1.33,-0.98,-1.22,-1.04,-0.86,-1.07,-1.37,-1.56,-1.27,-0.98
19761104,0.88,0.54,0.84,0.93,0.57,0.39,0.84,1.29,1.23,1.78
19761105,-2.03,-1.25,-1,-1.08,-0.94,-1.16,-1.23,-0.97,-0.79,-1
19761108,-0.87,-1.07,-1.21,-0.87,-0.94,-1.21,-1.02,-1.3,-1.09,-1.73
19761109,-0.76,-0.36,-0.26,-0.47,-0.18,-0.09,-0.42,-0.19,-0.41,-0.43
19761110,-0.3,-0.55,-0.16,-0.43,-0.53,-0.39,-0.78,-0.5,-0.13,-0.77
19761111,0.94,0.59,0.78,0.56,0.32,1.08,0.55,0.41,0.63,0.9
19761112,-0.43,-0.43,-0.09,-0.22,-0.28,-0.21,-0.59,-0.17,-0.32,-0.09
19761115,0.68,0.65,0.61,0.52,0.58,0.59,0.34,0.46,0.29,0.47
19761116,0.58,0.09,0.46,0.44,0.23,-0.32,0.45,0.59,0.73,0.39
19761117,0.22,0.37,0.5,0.83,0.82,0.63,0.74,0.7,1,1
19761118,1.54,0.8,1.2,1.2,1.24,1,1.56,1.43,1.66,1.78
19761119,-0.09,-0.01,0.17,0.26,-0.01,0.6,0.01,0.32,0.3,0.41
19761122,0.36,0.56,0.69,0.62,0.72,0.73,0.8,0.66,0.77,0.65
19761123,-0.81,-0.49,-0.27,-0.24,-0.37,-0.39,-0.46,-0.12,-0.24,-0.35
19761124,0.39,0.35,0.34,0.43,0.81,0.71,0.52,0.4,0.47,1
19761126,0.93,0.54,0.54,0.81,0.65,1.02,0.55,0.57,0.59,1.01
19761129,-0.54,-0.76,-0.49,-0.49,-0.75,-0.51,-0.26,-0.49,-0.55,-0.61
19761130,-0.75,-0.56,-0.39,-0.33,-0.2,-0.1,-0.08,-0.25,-0.11,0.02
19761201,-0.02,-0.02,0.31,0.39,0.48,0.75,0.62,0.73,0.69,1.01
19761202,-1.04,-0.32,-0.04,-0.24,-0.37,-0.41,0.02,0.24,0.18,0
19761203,0.74,0.62,0.47,0.51,0.71,0.61,0.57,0.26,0.4,0.74
19761206,1.25,0.75,0.74,0.82,0.44,0.94,0.7,1.17,0.79,1.31
19761207,0,-0.07,0.34,-0.02,-0.4,0.53,0.12,0.29,0.34,-0.07
19761208,0.46,0.17,0.59,0.41,0.65,0.53,1.03,0.74,0.61,0.45
19761209,0.5,0.64,0.72,0.71,0.2,0.52,0.78,0.6,0.4,0.99
19761210,0.14,0.19,0.15,0.09,0.21,0.44,0.53,0.36,0.23,0.25
19761213,-0.35,-0.15,0.04,0.4,-0.02,0.22,0.31,0.3,0.44,0.2
19761214,0.42,0.34,0.49,0.47,0.34,0.68,0.25,0.12,0.4,0.3
19761215,-0.22,0.03,0.23,0.03,-0.03,0.26,0.22,0.12,0.26,-0.2
19761216,-0.15,-0.48,-0.46,-0.03,-0.46,0.12,-0.36,-0.29,-0.15,-0.17
19761217,-0.38,-0.18,-0.64,-0.23,-0.72,-0.6,-0.19,-0.28,-0.07,-0.21
19761220,-0.66,-0.86,-0.46,-0.35,-0.75,-0.18,-0.25,-0.64,-0.19,-0.89
19761221,0.64,0.49,0.24,0.49,0.73,0.47,0.36,0.16,0.02,0.32
19761222,0.59,0.78,0.64,0.08,0.15,0.57,0.47,0.53,0.45,0.54
19761223,0.33,0.19,-0.16,0.03,0.14,-0.04,0.11,0.01,-0.11,-0.15
19761227,1.77,0.92,0.94,1.42,1.33,0.7,0.69,1.08,0.83,1.42
19761228,0.93,0.63,0.72,0.66,0.56,0.42,0.75,0.76,0.53,0.45
19761229,-0.38,-0.12,-0.39,-0.44,-0.47,-0.28,-0.15,-0.12,-0.12,-0.24
19761230,0.54,0.54,0.52,0.4,0.81,0.26,0.42,0.62,0.68,0.85
19761231,0.46,0.64,0.77,0.67,0.2,0.83,0.54,0.7,0.53,1.01
19770103,-0.15,-0.47,-0.34,-0.28,-0.53,-0.47,-0.15,-0.25,-0.03,0.31
19770104,-1.13,-0.85,-1.11,-0.82,-0.99,-1.44,-0.69,-0.76,-0.81,-0.48
19770105,-1.05,-0.88,-1.02,-0.82,-0.26,-0.4,-0.98,-0.68,-0.89,-0.9
19770106,0.36,-0.01,0.02,0.44,0.15,0.03,0.31,0.35,0.42,0.55
19770107,0.05,0.32,0.01,0.18,-0.22,-0.1,0.18,0.49,0.22,0.5
19770110,0.12,0.07,0.24,-0.06,0.13,0.04,0.32,0.24,0.24,0.23
19770111,-1.16,-1.01,-1.02,-0.76,-0.87,-0.64,-1.01,-0.43,-1.1,-0.93
19770112,-0.82,-0.93,-0.63,-0.63,-0.41,-0.68,-0.57,-0.96,-0.7,0.09
19770113,0.82,0.59,0.86,0.73,0.83,0.82,0.64,1.17,0.93,1.77
19770114,-0.59,-0.62,0.11,0.1,0.29,0.23,-0.03,0.21,0.2,0.75
19770117,-0.61,-0.47,-0.37,0.34,-0.24,-0.39,0.04,-0.27,0.12,0.1
19770118,-1.1,-0.33,-0.44,-0.01,-0.37,-0.11,-0.16,-0.11,0,0.05
19770119,0.35,0.6,0.27,0.53,0.6,0.23,0.62,0.92,0.66,0.74
19770120,-1.32,-0.95,-0.97,-0.88,-0.38,-0.36,-0.3,-0.64,-0.62,-0.69
19770121,0.5,0.34,0.11,0.29,0.46,-0.03,0.69,0.42,0.48,0.64
19770124,-0.35,-0.48,-0.36,0.35,-0.19,0.54,0.15,0.36,0.31,0.2
19770125,-0.82,-0.45,-0.11,-0.11,-0.19,0.45,-0.16,0.46,0.11,0.32
19770126,-1.17,-0.61,-0.87,-0.68,-0.44,-0.38,-0.6,-0.45,-0.66,-0.61
19770127,-1.38,-0.49,-0.63,-0.49,-0.42,-0.31,-0.31,-0.48,-0.81,-0.68
19770128,0.15,-0.2,-0.31,0.12,0.5,0.14,0.16,-0.23,-0.23,0.13
19770131,-0.07,-0.09,0.06,0.35,0.14,-0.06,0.08,-0.01,-0.3,-0.19
19770201,0.89,0.45,0.27,0.42,0.51,0.73,0.43,0.29,0.44,1.16
19770202,-0.45,-0.08,-0.12,-0.43,0.07,0.11,0.02,0.07,-0.05,0.29
19770203,-0.85,-0.25,-0.53,-0.27,-0.57,-0.53,-0.2,-0.31,0.07,0.09
19770204,0.16,0.26,0.08,-0.21,-0.04,0.49,-0.05,0.6,0.37,0.47
19770207,-0.29,0.25,0.44,0.15,-0.2,0.01,0.1,0.06,0.21,0.16
19770208,-0.26,-0.17,0.04,-0.44,-0.25,0.02,-0.13,-0.69,0,-0.36
19770209,-0.43,-0.67,-0.93,-0.66,-0.79,-0.72,-0.93,-1.07,-1.28,-0.96
19770210,0.27,0.24,0.34,0.27,0.31,-0.09,-0.15,0.02,0.1,0
19770211,-0.67,-0.39,-0.33,-0.18,-0.63,-0.44,-0.32,-0.65,-0.83,-1.03
19770214,0.65,0.59,0.03,0.42,1.04,0.53,0.22,0.41,-0.17,0.27
19770215,0.62,0.38,0.36,0.6,-0.16,0.33,0.3,0.46,0.2,0.14
19770216,0.68,0.56,0.46,0.24,0.06,0.63,0.25,0.4,0.45,0.4
19770217,-0.6,-0.68,-0.55,-0.75,-0.41,-0.35,-0.77,-0.14,-0.53,-0.38
19770218,-0.43,-0.47,-0.06,-0.02,-0.06,0,-0.7,-0.36,-0.23,-0.37
19770222,0.44,-0.04,0.06,-0.04,0.57,-0.16,-0.14,-0.07,-0.52,-0.26
19770223,-0.62,-0.4,-0.35,-0.34,0.03,-0.16,-0.35,-0.24,-0.31,-0.31
19770224,-0.97,-0.89,-0.72,-0.52,-0.58,-0.32,-0.66,-0.26,-0.45,-0.82
19770225,0.48,-0.13,-0.07,0.01,-0.36,-0.44,-0.09,-0.44,-0.41,-0.31
19770228,0.18,0.31,0.08,0.36,0,0.51,0.45,0.04,0.07,0
19770301,1.3,1.01,0.65,0.84,0.54,0.94,0.3,1.31,1,1.29
19770302,-0.68,-0.2,0,-0.13,-0.19,-0.24,-0.15,-0.27,0.09,-0.19
19770303,0.77,0.61,0.66,0.42,0.47,0.5,0.24,0.26,0.41,0.55
19770304,0.33,0.54,0.59,0.35,0.39,0.44,0.04,0.27,0.48,0.46
19770307,0.02,0.3,0.06,-0.15,0.51,0.21,-0.01,0.02,0.02,0.06
19770308,-0.92,-0.37,-0.51,-0.2,-0.25,-0.09,-0.19,-0.12,-0.31,-0.54
19770309,-0.88,-1.15,-1.3,-0.76,-0.53,-0.44,-0.44,-0.42,-0.36,-0.59
19770310,0.58,0.74,0.87,0.52,0.88,0.1,0.06,0.4,0.16,0.67
19770311,-0.09,0.28,0.13,0.32,-0.09,0,0.17,0.19,-0.06,0.09
19770314,1.32,1.2,0.77,0.45,0.62,0.46,0.38,0.45,0.53,0.33
19770315,0.76,0.31,0.68,0.71,0.43,0.36,0.22,0.27,0.52,0.19
19770316,0.04,0.28,0.57,0.02,0.12,0.52,0.02,0.17,0.24,0.07
19770317,0,-0.28,-0.06,0.12,-0.05,0,-0.08,-0.13,-0.13,-0.19
19770318,-0.91,-0.26,-0.27,-0.05,-0.28,0.04,-0.24,0.04,0.12,-0.01
19770321,-0.67,-0.74,-0.41,-0.27,-0.21,-0.71,-0.3,-0.34,-0.63,-0.28
19770322,-0.11,-0.22,0.17,-0.3,0.01,-0.3,-0.47,-0.47,-0.13,-0.38
19770323,-0.85,-0.61,-0.44,-0.58,-0.8,-1.36,-0.38,-1.02,-0.57,-1.06
19770324,-1.26,-0.51,-0.71,-0.4,-0.53,-0.4,0.05,-0.15,-0.31,-0.45
19770325,-0.66,-0.98,-0.45,-0.72,-0.74,-0.48,-0.57,-0.16,-0.44,-0.29
19770328,-0.01,-0.54,-0.2,-0.41,0.18,-0.06,-0.12,0.34,-0.56,-0.24
19770329,0.85,0.52,0.33,0.54,0.49,0.7,0.72,0.51,0.43,0.53
19770330,-2.17,-1.19,-1.01,-1.3,-1.1,-0.98,-0.64,-0.77,-0.94,-0.91
19770331,-0.08,-0.43,-0.04,-0.45,-0.41,-0.01,0.23,0.05,-0.19,0.08
19770401,1.02,0.77,0.59,0.82,0.82,0.65,0.72,0.7,0.74,0.97
19770404,-1.6,-1.2,-1.2,-1.09,-0.88,-0.39,-0.61,-0.55,-0.55,-0.63
19770405,0.04,-0.45,-0.17,-0.46,-0.38,-0.23,-0.19,-0.25,-0.24,-0.24
19770406,0.09,-0.65,-0.22,0.05,0.09,-0.2,0.03,0.2,-0.03,0.1
19770407,0.22,0.44,0.3,0.54,0.39,0.35,0.23,0.33,0.42,-0.01
19770411,0.31,0.48,0.8,0.69,0.56,0.35,0.67,0.18,0.53,0.53
19770412,1.22,1.07,1.48,1.36,0.99,0.94,1.31,1.29,1.29,1.55
19770413,0.21,-0.2,0.21,0.22,-0.62,0.11,0.55,0.21,0.19,0.12
19770414,0.9,1.03,1.15,1.26,0.18,0.74,0.92,1.03,0.72,1.07
19770415,-0.16,0.06,-0.03,0.31,0,0.18,-0.14,0.09,0.17,0.33
19770418,-0.64,-0.46,-0.64,-0.06,-0.69,-0.31,0.05,-0.42,-0.27,-0.05
19770419,-0.37,-0.55,-0.56,-0.48,-0.44,-0.13,-0.15,-0.18,0.13,0.14
19770420,-0.52,0.09,0.52,0.58,0.1,0.58,0.57,0.54,0.44,0.83
19770421,-2.09,-0.95,-0.51,-0.33,-0.13,-0.58,-0.43,-0.56,-0.58,-0.35
19770422,-1.94,-1.62,-1.28,-1.19,-1.16,-0.74,-1.03,-0.84,-0.91,-0.96
19770425,-2.63,-1.46,-1.58,-1.81,-0.97,-0.47,-0.68,-0.96,-1.01,-1.35
19770426,0.39,-0.16,-0.35,-0.08,0.21,-0.08,0.01,0.07,-0.23,-0.11
19770427,1.44,0.78,1,1.07,0.67,0.66,0.76,0.71,0.91,1.08
19770428,0.27,0.32,0.55,0.1,0.26,0.06,0.14,0.13,0.22,0.43
19770429,0.41,-0.03,0.35,0.11,0.16,0.29,0.41,0.42,0.33,0.6
19770502,0.25,0.32,0.29,1.1,0.6,0.55,0.78,0.48,0.45,0.9
19770503,0.74,0.44,0.41,0.16,0.48,0.57,0.54,0.5,0.63,0.47
19770504,0.55,0.83,0.49,0.64,0.49,0.72,0.49,0.5,0.37,0.55
19770505,0.3,0.55,0.33,0.28,0.17,0.22,0.29,0.14,0.39,0.33
19770506,-0.9,-0.34,-0.67,-0.42,-0.61,-0.28,-0.18,-0.11,-0.06,0.07
19770509,-0.31,-0.22,-0.09,-0.25,-0.19,-0.14,-0.14,-0.23,-0.28,-0.09
19770510,0.46,0.23,0.34,0.23,0.23,0.36,0.42,0.43,0.12,0.49
19770511,-1.24,-0.68,-0.66,-0.73,-0.74,-0.15,-0.26,-0.03,-0.21,-0.23
19770512,-0.25,0.04,-0.17,0.03,0,0.02,-0.12,0,0.15,0.3
19770513,0.75,0.15,0.49,0.21,0.31,0.34,0.21,0.25,0.56,0.56
19770516,0.68,0.44,0.36,0.5,0.32,0.25,0.4,0.56,0.62,0.33
19770517,0.9,0.44,0.22,-0.06,0.44,0.24,0.09,0.1,0.29,0.05
19770518,0.91,0.55,0.78,0.64,0.13,0.64,0.35,0.51,0.34,0.31
19770519,-0.88,-0.55,-0.41,-0.12,-0.4,-0.21,-0.12,-0.07,-0.08,-0.08
19770520,-0.71,-0.71,-0.31,-0.6,0.02,-0.25,0.02,-0.22,-0.21,-0.01
19770523,-1.36,-1.5,-1.13,-1.3,-0.83,-0.99,-0.61,-0.8,-1.22,-1.16
19770524,-0.4,-0.61,-0.37,-0.05,-0.5,-0.5,-0.42,-0.67,-0.8,-0.96
19770525,-1.46,-1.08,-0.73,-0.58,-0.44,-0.81,-0.77,-0.58,-0.73,-0.97
19770526,0.39,0.12,0.07,0.29,0.21,0.36,-0.05,-0.2,0.09,0.26
19770527,-1.5,-0.87,-0.56,-0.73,-0.33,-0.42,-0.3,-0.34,-0.26,-0.49
19770531,-0.13,-0.36,-0.49,-0.11,-0.23,0,-0.23,-0.31,-0.1,-0.44
19770601,1.12,0.85,0.82,0.81,0.67,0.46,0.59,0.52,0.87,0.8
